accountsservice 26.13.3-1.1
adw-gtk-theme 6.5-1
alacritty 0.17.0-1.2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.16-1.1
archlinuxcn-keyring 20260505-1
awesome-terminal-fonts 1.1.0-5
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bat 0.26.1-2.1
bazaar 0.7.14-2.1
bind 9.20.24-1.1
bluetui 0.8.1-2.1
bluez 5.86-6.1
bluez-hid2hci 5.86-6.1
bluez-libs 5.86-6.1
bluez-obex 5.86-6.1
bluez-utils 5.86-6.1
breeze-cursors 6.7.1-1.1
btop 1.4.7-1.1
btrfs-assistant 2.2-5.1
btrfs-progs 7.0-1
cachyos-fish-config 15-1
cachyos-gaming-applications 1.0.0-2
cachyos-gaming-meta 1:1.0.0-7
cachyos-grub-theme 1.0.0-1
cachyos-hello 0.25.0-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 23-3
cachyos-settings 1:1.3.5-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cachy-update 3.20.2-1
cantarell-fonts 1:0.311-1
chwd 1.21.1-1
clash-verge-rev-bin 2.5.1-1
cmatrix 2.0-4.1
cpupower 7.1.1-1
cryptsetup 2.8.6-1.1
cups 2:2.4.19-1
cups-filters 2.0.1-2.1
cups-pdf 3.0.3-1.1
device-mapper 2.03.41-1.1
diffutils 3.12-2.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
egl-wayland 4:1.1.21-1.1
ethtool 1:7.0-1.1
exfatprogs 1.4.2-1.1
eza 0.23.4-3.1
f2fs-tools 1.16.0-3.1
fastfetch 2.64.2-2.1
fcitx5 5.1.20-1.1
fcitx5-configtool 5.1.14-1.1
fcitx5-gtk 5.1.7-1.1
fcitx5-qt 5.1.14-1.1
fcitx5-rime 5.1.14-1.1
fcitx5-theme-mint 0.0.1-1
ffmpegthumbnailer 2.3.0-1.1
file-roller 44.7-1.1
firefox 152.0.1-1.1
fish 4.7.1-1
flatpak 1:1.18.0-1.1
foomatic-db 3:20260209-1
foomatic-db-engine 5:20200131-2.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
foomatic-db-nonfree 3:20260209-1
foomatic-db-nonfree-ppds 3:20260209-1
foomatic-db-ppds 3:20260209-1
fsarchiver 0.8.9-1.1
fuzzel 1.14.1-1.1
gdu 5.36.1-1.1
ghostscript 10.07.1-1.1
git 2.54.0-1.1
github-cli 2.95.0-1.1
glances 4.5.5-1
gnome-keyring 1:50.0-1.1
go 2:1.26.4-2
greetd 0.10.3-2.1
greetd-dms-greeter-git 1.4.0.705.gbed66225-1
grub 2:2.14-1.1
grub-btrfs-support 1.0.0-2
grub-hook 2.1-1
gsfonts 20200910-6
gst-libav 1.28.4-2.1
gst-plugin-pipewire 1:1.6.7-1.1
gst-plugins-bad 1.28.4-2.1
gst-plugins-base 1.28.4-2.1
gst-plugins-good 1.28.4-2.1
gst-plugins-ugly 1.28.4-2.1
gst-plugin-va 1.28.4-2.1
gutenprint 5.3.5-1.1
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-smb 1.60.0-2
hdparm 9.65-3.1
hplip 1:3.26.4-1.1
hwdetect 2025.08.16.1333-1
hwinfo 25.4-1.1
icoextract 0.3.0-1
imagemagick 7.1.2.26-1.1
impala 0.7.4-1.1
imv 5.0.1-1.1
inetutils 2.8-1.1
inotify-tools 4.25.9.0-1.1
intel-lpmd 0.1.0-6
intel-media-sdk 23.2.2-6
intel-ucode 20260512-1
iwd 3.12-1.1
jfsutils 1.1.15-9.1
jq 1.8.2-1.1
kitty 0.47.1-1.1
less 1:704-1.1
lib32-nvidia-utils 610.43.02-1
lib32-opencl-nvidia 610.43.02-1
lib32-vulkan-icd-loader 1.4.350.1-1
lib32-vulkan-intel 3:26.1.2-1
libappindicator 12.10.1-1
libdvdcss 1.5.0-1.1
libgsf 1.14.58-1.1
libinput-tools 1.31.3-1.1
libopenraw 0.3.7-2.1
libva-intel-driver-irql 2.4.5-1
libva-nvidia-driver 0.0.17-1.1
linux-cachyos 7.1.1-2
linux-cachyos-headers 7.1.1-2
linux-cachyos-lts 6.18.36-1
linux-cachyos-lts-headers 6.18.36-1
linux-cachyos-lts-nvidia-open 6.18.36-1
linux-cachyos-nvidia-open 7.1.1-2
linux-firmware 1:20260519-1
linuxqq-appimage 3.2.29_20260528-1
linuxqq-clipsync-git r34.ebcaf98-1
logrotate 3.22.0-1.1
lolcat 100.0.1-5
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2.2
lvm2 2.03.41-1.1
ly 1.4.1-1.1
man-db 2.13.1-1.1
man-pages 6.18-1
matugen 4.1.0-1.1
mdadm 4.6-2
mediainfo 26.05-1.1
